=== ПРОФИЛЬ АВТОРА ===
Параметр,Значение
ФИО,СТАРОСТИНА АЛЕКСАНДРА ВИКТОРОВНА
Организация,"Научно-производственное объединение ""Марс"""
SPIN,
AuthorID,524711
Индекс Хирша,2
Публикаций в РИНЦ,7
Цитирований в РИНЦ,7

=== ПУБЛИКАЦИИ ===
№,Название,Источник,Год,Цитирований
1,ПРОСМОТР НАРУШЕНИЙ ЗЕМЛЕПОЛЬЗОВАНИЯ,—,2024,0
2,РАСПОЗНАВАНИЕ ДЕФЕКТОВ И ПОВРЕЖДЕНИЙ МЕТАЛЛИЧЕСКИХ И ЖЕЛЕЗОБЕТОННЫХ КОНСТРУКЦИЙ,—,2024,0
3,ПОИСК НАРУШЕНИЙ ЗЕМЛЕПОЛЬЗОВАНИЯ ПО АЭРОФОТОСНИМКАМ,—,2024,0
4,КАТАЛОГИЗАЦИЯ И ОБРАБОТКА ФОТОМАТЕРИАЛОВ,—,2024,0
5,КОНТРОЛЬ ЗЕМЛЕПОЛЬЗОВАНИЯ,—,2023,0
6,ОБУЧЕНИЕ НЕЙРОННОЙ СЕТИ ВЫЯВЛЕНИЮ ДЕФЕКТОВ И ПОВРЕЖДЕНИЙ,—,2022,0
7,ИМИТАТОР ФУНКЦИОНИРОВАНИЯ СРЕДСТВ УПРАВЛЕНИЯ ПВО-ПРО ФЛОТА,—,2021,0
8,ВЕДЕНИЕ И ОТОБРАЖЕНИЕ ИНФОРМАЦИОННОГО КОНТЕНТА,—,2019,0
9,СИСТЕМА УПРАВЛЕНИЯ КОНТЕНТОМ И ПРАВАМИ ПОЛЬЗОВАТЕЛЕЙ,—,2019,0
10,ПОИСК И АНАЛИЗ СООБЩЕНИЙ ПОЛЬЗОВАТЕЛЯ,—,2019,0
11,ПОСТРОЕНИЕ СОЦИАЛЬНОГО ПОРТРЕТА ЛИЧНОСТИ,—,2019,0
12,УПРАВЛЕНИЕ ЭЛЕКТРОННОЙ БАЗОЙ ПОЛЬЗОВАТЕЛЕЙ,—,2019,0
13,ОБНАРУЖЕНИЕ АНОМАЛЬНЫХ УСЛОВИЙ ОБСТАНОВКИ,—,2016,0
14,ИНФОРМАЦИОННАЯ МОДЕЛЬ СХЕМЫ ДЕЛЕНИЯ,"Автоматизация процессов управления. 
2009. № 3.  С. 22-28.",2009,0
15,ПОДХОД К СОЗДАНИЮ ЭКСПЕРТНЫХ СИСТЕМ МОРСКОГО МОНИТОРИНГА,"Автоматизация процессов управления. 
2008. № 4 .  С. 47-52.",2008,0
16,,—,2006,0
